records,features,iterations,parties,preparation_runtime,convergence_runtime,mse,sad,mad,c_index_verticox,c_index_central,comment
100,6,100,2,5.346716,17.703256,0.24215199268289056,1.5302064375813182,1.1908054910211117,0.6080263881253436,0.6212204507971413,success
100,6,500,2,5.466471,61.134027,0.0006730218164095768,0.0803417818482096,0.0628088675050289,0.6217702034084662,0.6212204507971413,success
100,6,1000,2,5.412045,108.084308,6.575379370776325e-07,0.002509937980311617,0.001963373234704191,0.6212204507971413,0.6212204507971413,success
100,6,1500,2,5.439251,145.252411,2.3291092805104463e-09,0.00015175471557925604,0.0001164637116939371,0.6212204507971413,0.6212204507971413,success
100,6,2000,2,5.339795,161.363871,4.261582597819908e-11,2.0495974558099733e-05,1.5731862023526944e-05,0.6212204507971413,0.6212204507971413,success
100,6,100,3,6.162187,20.869094,0.11817345210943438,1.0508736347641285,0.8339452705888588,0.6146234194612424,0.6212204507971413,success
100,6,500,3,6.139835,62.770915,4.50679340310562e-05,0.02044621984022211,0.016292568257315843,0.6212204507971413,0.6212204507971413,success
100,6,1000,3,6.179333,114.018145,4.2441363796470096e-09,0.00019885356085847655,0.0001580677537758035,0.6212204507971413,0.6212204507971413,success
100,6,1500,3,6.170361,134.708726,1.2989029431666704e-11,1.1346661620843801e-05,8.698513968674604e-06,0.6212204507971413,0.6212204507971413,success
100,6,2000,3,6.137029,160.055601,8.410007496859047e-14,1.4172877970605735e-06,5.621246883524833e-07,0.6212204507971413,0.6212204507971413,success
100,6,100,4,6.947138,19.754817,0.08552940052851908,0.874149621822962,0.7113062105683785,0.6129741616272677,0.6212204507971413,success
100,6,500,4,6.873325,57.774809,1.1406135095210064e-05,0.010082631730565228,0.008214589169452724,0.6212204507971413,0.6212204507971413,success
100,6,1000,4,6.933076,98.139635,6.812289787577187e-10,7.949339700619173e-05,6.329636854940368e-05,0.6212204507971413,0.6212204507971413,success
100,6,1500,4,6.916654,117.534773,8.144576000431231e-13,2.985247501530175e-06,2.1420030098528997e-06,0.6212204507971413,0.6212204507971413,success
100,6,2000,4,6.842729,141.106809,8.290197741548973e-14,1.0600400377758223e-06,6.813339834543797e-07,0.6212204507971413,0.6212204507971413,success
100,6,100,5,7.682554,17.632894,0.06151189829911738,0.7274686353142681,0.6041632853059524,0.6146234194612424,0.6212204507971413,success
100,6,500,5,7.749769,53.402156,3.124344590334669e-06,0.005211803489488593,0.004303928425764436,0.6212204507971413,0.6212204507971413,success
100,6,1000,5,7.681308,85.474321,9.085394972177044e-11,2.748834447287643e-05,2.324204728543222e-05,0.6212204507971413,0.6212204507971413,success
100,6,1500,5,7.565298,102.460119,4.932533202463335e-13,2.3310164892036134e-06,1.665165876740815e-06,0.6212204507971413,0.6212204507971413,success
100,6,2000,5,7.503281,123.132767,4.944015023895799e-13,2.601100035842102e-06,1.345223943127749e-06,0.6212204507971413,0.6212204507971413,success
50,6,500,3,6.143559,62.995614,2.2797772498402975e-06,0.004855181405428838,0.0036221686864434943,0.7463414634146341,0.7463414634146341,success
100,6,500,3,6.220732,64.3828,4.50679340310562e-05,0.02044621984022211,0.016292568257315843,0.6212204507971413,0.6212204507971413,success
500,6,500,3,6.343096,58.915664,1.258189294359897e-10,4.6057191937312354e-05,2.1021537531640266e-05,0.5758084726332346,0.5758084726332346,success
1000,6,500,3,6.448909,40.514118,4.816988533713946e-13,2.266621985105898e-06,1.6323964725506457e-06,0.45986103435236625,0.4598646702929114,success
100,3,500,3,5.614016,9.358126,1.7646190244310191e-15,9.992702965262723e-08,6.936672522148135e-08,0.6470588235294118,0.6470588235294118,success
100,6,500,3,6.230348,64.219317,4.50679340310562e-05,0.02044621984022211,0.016292568257315843,0.6212204507971413,0.6212204507971413,success
100,9,500,3,6.774993,76.254725,5.866455362200879,14.375868527970878,4.958482914126744,0.5810885101704233,0.5843870258383728,success
