records,features,iterations,parties,preparation_runtime,convergence_runtime,mse,sad,mad,c_index_verticox,c_index_central,comment
100,6,100,2,5.665024,17.060291,0.24215199268289056,1.5302064375813182,1.1908054910211117,0.6080263881253436,0.6212204507971413,success
100,6,500,2,5.65904,54.826671,0.0006730218164095768,0.0803417818482096,0.0628088675050289,0.6217702034084662,0.6212204507971413,success
100,6,1000,2,5.638839,103.65563,6.575379370776325e-07,0.002509937980311617,0.001963373234704191,0.6212204507971413,0.6212204507971413,success
100,6,1500,2,5.583305,139.597935,2.3291092805104463e-09,0.00015175471557925604,0.0001164637116939371,0.6212204507971413,0.6212204507971413,success
100,6,2000,2,5.473467,164.415957,4.261582597819908e-11,2.0495974558099733e-05,1.5731862023526944e-05,0.6212204507971413,0.6212204507971413,success
100,6,100,3,6.416621,19.983673,0.11817345210943438,1.0508736347641285,0.8339452705888588,0.6146234194612424,0.6212204507971413,success
100,6,500,3,6.249583,66.409955,4.50679340310562e-05,0.02044621984022211,0.016292568257315843,0.6212204507971413,0.6212204507971413,success
100,6,1000,3,6.3996,114.775386,4.2441363796470096e-09,0.00019885356085847655,0.0001580677537758035,0.6212204507971413,0.6212204507971413,success
100,6,1500,3,6.335524,137.900561,1.2989029431666704e-11,1.1346661620843801e-05,8.698513968674604e-06,0.6212204507971413,0.6212204507971413,success
100,6,2000,3,6.370075,157.489041,8.410007496859047e-14,1.4172877970605735e-06,5.621246883524833e-07,0.6212204507971413,0.6212204507971413,success
100,6,100,4,7.138645,19.742619,0.08552940052851908,0.874149621822962,0.7113062105683785,0.6129741616272677,0.6212204507971413,success
100,6,500,4,7.145892,58.533854,1.1406135095210064e-05,0.010082631730565228,0.008214589169452724,0.6212204507971413,0.6212204507971413,success
100,6,1000,4,7.103307,101.598222,6.812289787577187e-10,7.949339700619173e-05,6.329636854940368e-05,0.6212204507971413,0.6212204507971413,success
100,6,1500,4,7.17317,120.012842,8.144576000431231e-13,2.985247501530175e-06,2.1420030098528997e-06,0.6212204507971413,0.6212204507971413,success
100,6,2000,4,7.141998,141.609344,8.290197741548973e-14,1.0600400377758223e-06,6.813339834543797e-07,0.6212204507971413,0.6212204507971413,success
100,6,100,5,8.147668,18.070505,0.06151189829911738,0.7274686353142681,0.6041632853059524,0.6146234194612424,0.6212204507971413,success
100,6,500,5,7.959226,54.024048,3.124344590334669e-06,0.005211803489488593,0.004303928425764436,0.6212204507971413,0.6212204507971413,success
100,6,1000,5,7.946159,83.688676,9.085394972177044e-11,2.748834447287643e-05,2.324204728543222e-05,0.6212204507971413,0.6212204507971413,success
100,6,1500,5,7.910768,102.067488,4.932533202463335e-13,2.3310164892036134e-06,1.665165876740815e-06,0.6212204507971413,0.6212204507971413,success
100,6,2000,5,7.879776,122.615384,4.944015023895799e-13,2.601100035842102e-06,1.345223943127749e-06,0.6212204507971413,0.6212204507971413,success
,,,,,,,,,,,Not enough features
100,4,500,3,5.952705,44.395199,5.821857272339302e-13,2.4110084434932066e-06,1.288145712152744e-06,0.6355140186915887,0.6355140186915887,success
100,6,500,3,6.215996,64.167521,4.50679340310562e-05,0.02044621984022211,0.016292568257315843,0.6212204507971413,0.6212204507971413,success
100,8,500,3,6.435831,80.949848,0.9230703500061508,5.152139175613449,2.1283494368346334,0.6102253985706432,0.6124244090159429,success
100,10,500,3,6.905853,79.139138,6.099533025566134,15.28952759900681,5.372982191869951,0.5821880153930731,0.5816382627817482,success
50,6,500,3,6.1509,63.908818,2.2797772498402975e-06,0.004855181405428838,0.0036221686864434943,0.7463414634146341,0.7463414634146341,success
100,6,500,3,6.203719,63.9853,4.50679340310562e-05,0.02044621984022211,0.016292568257315843,0.6212204507971413,0.6212204507971413,success
500,6,500,3,6.313849,60.225926,1.258189294359897e-10,4.6057191937312354e-05,2.1021537531640266e-05,0.5758084726332346,0.5758084726332346,success
1000,6,500,3,6.452505,40.792568,4.816988533713946e-13,2.266621985105898e-06,1.6323964725506457e-06,0.45986103435236625,0.4598646702929114,success
